regcode,regname,provcode,provname,citycode,cityname,registered,accredited,unregistered,drafted,for_validation,back_to_encoder,validated,approved,total_stepzero
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803701,ABUYOG,116,96,175,211,1,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803702,ALANGALANG,123,232,2,242,114,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803703,ALBUERA,33,102,8,114,22,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804801,ALLEN,21,123,86,144,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806001,ALMAGRO,41,15,22,42,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807801,ALMERIA,52,73,24,98,0,0,45,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806401,ANAHAWAN,0,17,0,17,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802601,ARTECHE,65,61,121,126,1,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803705,BABATNGON,21,113,24,75,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802602,BALANGIGA,0,109,15,109,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802603,BALANGKAYAN,24,48,0,72,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803706,BARUGO,0,196,0,196,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806002,BASEY,57,332,8,235,88,0,20,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803707,BATO,7,194,28,195,1,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807802,BILIRAN,28,77,48,106,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804802,BIRI,26,100,8,126,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804803,BOBON,33,48,82,72,9,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806402,BONTOC,0,186,0,186,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803710,BURAUEN,181,12,0,193,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807803,CABUCGAYAN,58,127,0,0,0,3,175,0,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807804,CAIBIRAN,65,32,91,38,55,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806004,CALBIGA,65,102,60,109,11,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803713,CALUBIAN,0,31,0,31,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802605,CAN-AVID,60,122,37,132,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803714,CAPOOCAN,141,15,20,52,108,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804804,CAPUL,26,111,3,0,137,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803715,CARIGARA,43,164,0,207,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804805,"CATARMAN (CAPITAL)",253,585,172,457,275,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804806,CATUBIG,0,176,20,176,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803708,"CITY OF BAYBAY",230,213,379,443,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802604,"CITY OF BORONGAN (CAPITAL)",134,147,10,281,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806003,"CITY OF CALBAYOG",435,0,7,0,0,0,330,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806005,"CITY OF CATBALOGAN (CAPITAL)",10,213,33,0,0,0,255,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806407,"CITY OF MAASIN (CAPITAL)",93,157,50,250,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08316,"CITY OF TACLOBAN (HUC)",0831600,"CITY OF TACLOBAN (CAPITAL)",103,193,0,0,0,0,272,0,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807805,CULABA,9,55,68,0,0,0,59,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803717,DAGAMI,66,56,11,122,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806006,DARAM,172,8,0,192,4,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802606,DOLORES,362,90,0,450,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803718,DULAG,33,299,48,82,261,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804807,GAMAY,57,82,0,139,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806007,GANDARA,0,179,82,55,64,38,18,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802607,"GENERAL MACARTHUR",33,63,23,94,1,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802608,GIPORLOS,93,76,15,50,61,0,79,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802609,GUIUAN,117,231,45,348,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802610,HERNANI,0,88,9,10,1,79,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803719,HILONGOS,0,290,0,116,122,0,42,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806008,HINABANGAN,2,89,62,91,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803720,HINDANG,0,122,0,122,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806403,HINUNANGAN,78,157,0,235,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806404,HINUNDAYAN,50,32,9,82,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803721,INOPACAN,17,100,0,108,7,0,1,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803722,ISABEL,66,50,66,0,72,0,5,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803723,JARO,115,110,13,1,0,2,7,233,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803724,JAVIER,38,125,7,163,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806009,JIABONG,44,62,228,106,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802611,JIPAPAD,40,47,21,87,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803725,JULITA,1,51,16,55,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803726,KANANGA,60,72,49,0,0,0,62,122,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807806,KAWAYAN,0,172,0,95,3,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803728,"LA PAZ",4,60,0,64,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804808,LAOANG,47,441,0,485,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804809,LAPINIG,18,58,55,76,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804810,"LAS NAVAS",23,7,146,19,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804811,LAVEZARES,57,223,214,221,0,1,39,9,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802612,LAWAAN,15,74,20,41,46,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803729,LEYTE,165,37,0,122,0,0,65,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806405,LIBAGON,55,42,0,97,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806406,LILOAN,47,84,0,131,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806419,LIMASAWA,12,23,0,35,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802613,LLORENTE,0,150,50,145,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804824,"LOPE DE VEGA",0,49,44,49,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803730,MACARTHUR,0,117,48,117,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806408,MACROHON,15,96,36,111,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803731,MAHAPLAG,119,71,26,34,120,0,64,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806409,MALITBOG,31,48,28,79,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804812,MAPANAS,0,84,41,84,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806010,MARABUT,31,165,0,140,3,21,23,0,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807807,MARIPIPI,28,32,12,60,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802614,MASLOG,24,31,0,55,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803733,MATAG-OB,0,126,31,30,3,0,131,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803734,MATALOM,29,63,0,92,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806011,MATUGUINAO,29,17,7,36,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802615,MAYDOLONG,112,29,8,66,10,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803735,MAYORGA,5,156,0,161,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802616,MERCEDES,41,17,11,58,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803736,MERIDA,0,46,84,46,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804813,MONDRAGON,71,72,0,77,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806012,MOTIONG,6,125,0,56,68,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08078,BILIRAN,0807808,"NAVAL (CAPITAL)",21,191,87,0,0,0,299,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802617,ORAS,114,164,75,278,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803738,"ORMOC CITY",110,226,0,0,0,0,425,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806410,"PADRE BURGOS",19,55,1,74,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806026,PAGSANGHAN,51,23,0,74,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804814,PALAPAG,114,166,0,130,165,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803739,PALO,0,203,120,203,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803740,PALOMPON,112,22,227,134,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804815,PAMBUJAN,194,71,0,265,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806022,PARANAS,65,54,0,118,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803741,PASTRANA,87,35,0,122,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806013,PINABACDAO,254,295,246,9,127,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806411,PINTUYAN,56,0,11,47,9,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802618,QUINAPONDAN,0,50,82,50,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804816,ROSARIO,94,35,0,30,39,11,12,20,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806412,"SAINT BERNARD",58,115,41,173,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802619,SALCEDO,2,236,36,211,23,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804817,"SAN ANTONIO",21,52,10,60,12,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806413,"SAN FRANCISCO",36,65,0,62,1,0,3,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803742,"SAN ISIDRO",87,0,38,87,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804818,"SAN ISIDRO",47,76,78,85,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806025,"SAN JORGE",85,66,3,151,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804819,"SAN JOSE",8,116,41,115,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806014,"SAN JOSE DE BUAN",0,28,37,27,12,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806414,"SAN JUAN",39,46,12,85,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802620,"SAN JULIAN",78,53,6,121,4,5,1,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803743,"SAN MIGUEL",0,122,11,122,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802621,"SAN POLICARPO",39,49,50,0,3,0,79,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806415,"SAN RICARDO",34,3,12,37,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804820,"SAN ROQUE",53,160,0,190,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806015,"SAN SEBASTIAN",14,38,66,56,1,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804821,"SAN VICENTE",0,44,0,44,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803744,"SANTA FE",60,111,3,0,0,2,1,169,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806016,"SANTA MARGARITA",159,0,25,159,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806017,"SANTA RITA",237,0,27,237,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806018,"SANTO NIÑO",0,6,137,2,5,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806416,SILAGO,0,26,0,26,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804822,"SILVINO LOBOS",69,63,0,132,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806417,SOGOD,94,100,53,174,17,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802622,SULAT,0,129,0,70,13,46,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803745,TABANGO,64,87,0,3,60,0,89,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803746,TABONTABON,22,49,8,0,0,0,72,0,1
08,"REGION VIII (EASTERN VISAYAS)",08026,"EASTERN SAMAR",0802623,TAFT,0,184,30,184,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806024,TAGAPUL-AN,19,43,4,55,0,13,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806019,TALALORA,5,70,15,75,0,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803748,TANAUAN,94,59,3,13,141,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806020,TARANGNAN,26,92,189,118,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803749,TOLOSA,58,100,17,9,127,0,16,0,1
08,"REGION VIII (EASTERN VISAYAS)",08064,"SOUTHERN LEYTE",0806418,"TOMAS OPPUS",6,83,11,50,48,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803750,TUNGA,14,32,0,38,3,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08048,"NORTHERN SAMAR",0804823,VICTORIA,0,47,0,47,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08037,LEYTE,0803751,VILLABA,13,177,34,157,16,0,0,0,1
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806021,VILLAREAL,39,36,164,66,0,0,0,0,0
08,"REGION VIII (EASTERN VISAYAS)",08060,SAMAR,0806023,ZUMARRAGA,59,8,0,67,0,0,0,0,0
